Year,Revenue,Budget
1930,11677940,9755749
1931,28213000,6849999
1932,5525000,4945252
1933,40321690,8133939
1934,7959000,3721397
1935,18239000,11593971
1936,24311200,12519755
1937,194491381,18057161
1938,21549902,22032282
1939,467068203,35260179
1940,197080451,17798755
1941,65685232,10576227
1942,307259566,15146988
1943,62579124,35529416
1944,44341226,21248998
1945,88515457,16148000
1946,514988124,136081068
1947,38406274,36861459
1948,38691187,38388000
1949,62266098,31291970
1950,309814640,17363785
1951,132361000,39475952
1952,89812428,33683940
1953,243385809,34326781
1954,147960155,68284890
1955,124470727,53234736
1956,351399312,70147000
1957,135069811,64297000
1958,103374267,33090235
1959,361926797,69542848
1960,284914702,71214947
1961,302192704,75111167
1962,431381195,131166684
1963,413787831,123965581
1964,440813634,106751007
1965,712848763,128902296
1966,292144823,239595934
1967,950392931,149384700
1968,589158048,163396076
1969,481350939,187215687
1970,762881589,254128053
1971,773906586,126914462
1972,901049407,92733919
1973,1314634528,106207033
1974,1062428830,111652500
1975,1237111210,114148070
1976,1285739550,220980967
1977,2460826068,298008278
1978,1938289975,361815188
1979,2264418261,450803708
1980,2634109169,691426520
1981,2489224770,675451946
1982,3198644697,771242586
1983,3108249200,724242562
1984,3233172731,984633680
1985,3818563923,1128419263
1986,3691095971,1307470659
1987,4117842367,1320663008
1988,4767010894,1524494103
1989,6025163419,1652052940
1990,6484693727,1951411452
1991,5926443528,2334420459
1992,7003471733,2278807625
1993,7826965612,2753276899
1994,8476950550,3024187737
1995,9607137994,3698488241
1996,9447775924,4246275255
1997,13165479353,5531644456
1998,11656933967,5577883552
1999,13416781275,6736554615
2000,12794141641,6411442881
2001,15418334977,6882980104
2002,16904983520,6898152990
2003,18000656646,7158676024
2004,18916558376,8105296373
2005,18267191491,8203198506
2006,19575577137,8607422891
2007,22169400319,8906681565
2008,22872576494,9621424725
2009,25450818892,9929500158
2010,25083760622,10369651677
2011,26479278745,10126646230
2012,27966051369,9639109431
2013,29240830310,10331171450
2014,29340024836,9696752554
2015,30452137648,9479780976
2016,32273085160,11128129325
2017,33343799899,10320364563
2018,31410523000,9138059293
2019,31458413244,9154315153
2020,6047852258,4111597101
2021,16485971726,7505890084
2022,21069405915,8044884125
